"OCID","CONTRACT_TITLE","CONTRACT_TYPE","PROCUREMENT_METHOD","BUYER_NAME","SUPPLIER_NAMES","CONTRACT_START_DATE","CONTRACT_AMOUNT","CONTRACT_CURRENCY","País"
"1","Lamivudina 10 mg solucion oral frasco 100 ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-08","43.4088121149652","USD","México"
"2","Lamivudina 10 mg solucion oral frasco 100 ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-08","651.132181724478","USD","México"
"3","Lamivudina 10 mg solucion oral frasco 100 ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-08","694.540993839443","USD","México"
"4","Lamivudina 10 mg solucion oral frasco 100 ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-08","2257.25822997819","USD","México"
"5","Lamivudina 10 mg solucion oral frasco 100 ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-08","347.270496919721","USD","México"
"6","Lamivudina 10 mg solucion oral frasco 100 ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-08","434.088121149652","USD","México"
"7","Lamivudina 10 mg solucion oral frasco 100 ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-08","260.452872689791","USD","México"
"8","Lamivudina 10 mg solucion oral frasco 100 ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-08","86.8176242299304","USD","México"
"9","Lamivudina 10 mg solucion oral frasco 100 ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-08","217.044060574826","USD","México"
"10","Lamivudina 10 mg solucion oral frasco 100 ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-08","303.861684804756","USD","México"
"11","Lamivudina 10 mg solucion oral frasco 100 ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-08","390.679309034687","USD","México"
"12","Lamivudina 10 mg solucion oral frasco 100 ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-08","651.132181724478","USD","México"
"13","Lamivudina 10 mg solucion oral frasco 100 ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-08","347.270496919721","USD","México"
"14","Lamivudina 10 mg solucion oral frasco 100 ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-08","347.270496919721","USD","México"
"15","Lamivudina 10 mg solucion oral frasco 100 ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-08","868.176242299304","USD","México"
"16","Lamivudina 10 mg solucion oral frasco 100 ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-08","868.176242299304","USD","México"
"17","Lamivudina 10 mg solucion oral frasco 100 ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-08","2083.62298151833","USD","México"
"18","Lamivudina 10 mg solucion oral frasco 100 ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-08","434.088121149652","USD","México"
"19","Lamivudina 10 mg solucion oral frasco 100 ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-08","130.226436344896","USD","México"
"20","Nevirapina 10mg/ml solucion oral","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-08","17.0396871026305","USD","México"
"21","Nevirapina 10mg/ml solucion oral","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-08","170.396871026305","USD","México"
"22","Nevirapina 10mg/ml solucion oral","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-08","34.079374205261","USD","México"
"23","Nevirapina 10mg/ml solucion oral","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-08","443.031864668393","USD","México"
"24","Nevirapina 10mg/ml solucion oral","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-08","34.079374205261","USD","México"
"25","Nevirapina 10mg/ml solucion oral","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-08","51.1190613078915","USD","México"
"26","Nevirapina 10mg/ml solucion oral","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-08","34.079374205261","USD","México"
"27","Nevirapina 10mg/ml solucion oral","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-08","170.396871026305","USD","México"
"28","Nevirapina 10mg/ml solucion oral","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-08","85.1984355131525","USD","México"
"29","Nevirapina 10mg/ml solucion oral","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-08","306.714367847349","USD","México"
"30","Nevirapina 10mg/ml solucion oral","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-08","255.595306539458","USD","México"
"31","Abacavir 20 mg/ml solución oral","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-09","721.071777821575","USD","México"
"32","Tripanavir 250mg ","LICITACIÓN PÚBLICA","Licitación","CENSIDA","RALCA, S.A. DE C.V.","2018-01-09","839.230969845444","USD","México"
"33","Didanosine EC 250mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","102.526613703363","USD","México"
"34","Didanosine EC 250mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","68.351075802242","USD","México"
"35","Didanosine EC 250mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","273.404303208968","USD","México"
"36","Etravirina 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","8184.24940628798","USD","México"
"37","Etravirina 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","4233.23245152827","USD","México"
"38","Etravirina 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","1128.8619870742","USD","México"
"39","Etravirina 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","1411.07748384276","USD","México"
"40","Etravirina 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","564.430993537102","USD","México"
"41","Etravirina 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","5079.87894183392","USD","México"
